Date,rolling50,har,garch11,ols,gb_tree
2018-12-05,0.917462207265944,0.9236687733182919,0.9206339989641514,0.9233447735667945,0.9164218986414823
2018-12-12,0.9014373320581102,0.9075518627045747,0.9051247128974887,0.9066938171071178,0.8995128289302139
2018-12-19,0.9022125925520709,0.9081893096449445,0.9068173709343189,0.9085520214782806,0.9016275338194882
2018-12-26,0.8755658729279652,0.8850307683099599,0.8861222306650088,0.8854505468659535,0.8795911431966583
2019-01-02,0.8720063226795385,0.8837024206098577,0.8855601991644609,0.8841239170848938,0.8781588712245767
2019-01-09,0.8722759209171602,0.8853255821634183,0.8877728496373108,0.8863730943178647,0.881174002598682
2019-01-16,0.8806874750853904,0.8936842873613252,0.8946731145090824,0.8941849651403136,0.8897790910071945
2019-01-23,0.8855645769157408,0.8976820731400829,0.8972107565910001,0.8983201105346436,0.894132036475381
2019-01-30,0.8941771365191593,0.906419835132719,0.9060065112716931,0.9076295803232961,0.902753194192248
2019-02-06,0.9004072040967642,0.9123472803482996,0.9106511271358778,0.9135040288492741,0.9084313974218883
2019-02-13,0.8929615067135644,0.9040805117351022,0.9026805102212111,0.9071998843973937,0.9004827024655053
2019-02-20,0.9004441330386829,0.9122700849458291,0.9107631763200624,0.9153058125122571,0.9083893122620261
